bridge_time_index,bridge_time_value,domain,n_images,effective_age,effective_age_M16,second_best_age,profile_margin,bootstrap_phase_mean,bootstrap_phase_sd,bootstrap_phase_mode,bootstrap_modal_share,crossfit_domain_regret
1,0.5,FoggyCityscapes,80,4,4,2,0.0340608015092812,4.0,0.0,4,1.0,0.0
1,0.5,LowLightTrafficData,80,2,2,1,0.014959110402283815,2.0,0.0,2,1.0,0.051299817292683375
1,0.5,RainCityscapes,80,4,4,3,0.010127229712511787,4.0,0.0,4,1.0,0.0
1,0.5,RainDS-syn,80,3,3,4,0.000763720463159423,3.4118,0.492159283159426,3,0.5882,-0.00013734032209516966
1,0.5,RSCityscapes,80,2,2,3,0.001354901556170185,2.335,0.4719904660054057,2,0.665,0.01948161058100717
1,0.5,SnowTrafficData,80,6,6,2,0.022406145988228432,6.0,0.0,6,1.0,0.04983729268004844
2,0.74,FoggyCityscapes,80,4,4,2,0.04831648957602919,4.0,0.0,4,1.0,0.0
2,0.74,LowLightTrafficData,80,2,2,3,0.015151910054265416,2.0,0.0,2,1.0,0.1255913336315881
2,0.74,RainCityscapes,80,4,4,3,0.004015009941116032,3.9874,0.11154030661603904,4,0.9874,0.0
2,0.74,RainDS-syn,80,4,4,3,0.002699487355124486,3.9524,0.2129183881208948,4,0.9524,0.0
2,0.74,RSCityscapes,80,2,2,4,0.048456493445797943,2.0,0.0,2,1.0,0.04845649344579789
2,0.74,SnowTrafficData,80,6,6,4,0.04729465318190906,6.0,0.0,6,1.0,0.047294653181909396
3,0.8600000000000001,FoggyCityscapes,80,4,4,5,0.060907682190873724,4.0,0.0,4,1.0,0.0
3,0.8600000000000001,LowLightTrafficData,80,3,3,2,0.0012146531848277187,2.77,0.4208325082500163,3,0.77,0.06360109784002205
3,0.8600000000000001,RainCityscapes,80,4,4,6,0.0033398190243009163,4.0896,0.413729186787686,4,0.9552,0.0
3,0.8600000000000001,RainDS-syn,80,4,4,3,0.00450961882721157,4.0,0.0,4,1.0,0.0
3,0.8600000000000001,RSCityscapes,80,2,2,4,0.003164296115466869,2.4472,0.8333139624415278,2,0.7764,-0.0040035607322752575
3,0.8600000000000001,SnowTrafficData,80,6,6,4,0.03860973901383358,6.0,0.0,6,1.0,0.038609739013833744
