aio_path,bytes,canonical_stem,domain,order,prior_phase_overlap,representative,role,sha256,single_path,source_path,stem
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2458.png,215560,,FoggyCityscapes,0,,,trainA,bd71cf67ef47efbc66298ff116d6331228000aa022d72da44fd844f61934a2c9,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2458.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2458.png,2458
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0396.png,208912,,FoggyCityscapes,1,,,trainA,1c9b86bdf527f1de196f13a2b21bf211b6a5ce8542d1a0408b8a14d7fdd8803c,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0396.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0396.png,0396
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__1802.png,192105,,FoggyCityscapes,2,,,trainA,0abed6ca8f53222f55437a202abf8073dc7e709b89f9bbe0d02f674a389f1c9d,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__1802.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\1802.png,1802
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2583.png,198384,,FoggyCityscapes,3,,,trainA,86e6727ef3d75b7c072e0c5b54a5f7da1cd4af25d1231e50a29cee119c2636c0,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2583.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2583.png,2583
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2996.png,191664,,FoggyCityscapes,4,,,trainA,789d61eeb32b2a2eb6934a027716342dac9eb697941b53a71609b76f5186d0a1,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2996.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2996.png,2996
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0897.png,173957,,FoggyCityscapes,5,,,trainA,d97b51aefa02b7e5548bb2880cdf0783cacce0e6e2a41b2b251bbda4da1efcd7,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0897.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0897.png,0897
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__3260.png,205981,,FoggyCityscapes,6,,,trainA,98ef1fdf5d8b97f980e1455e95903ce637b40f1a9be8cf7b774398b61f0d972d,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__3260.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\3260.png,3260
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__3999.png,189545,,FoggyCityscapes,7,,,trainA,46c867128d724359eff7099be11b07f8e076f4f95943e29aefa04c0e3342c7cf,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__3999.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\3999.png,3999
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__4186.png,182655,,FoggyCityscapes,8,,,trainA,a9447cffdc0247cec650e2ddd3eb396d37a9b4fc90190b93cdf5c9c412667127,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__4186.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\4186.png,4186
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0617.png,213203,,FoggyCityscapes,9,,,trainA,6c2d17f683bb865f6cd8123ae65640ba15b38c69463df569f37aaec948d59223,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0617.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0617.png,0617
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2749.png,149499,,FoggyCityscapes,10,,,trainA,0df1cfa40979bae1cfab0ecd11d082fa96d4d2291c3e78d98006d6fd15f82b8c,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2749.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2749.png,2749
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__1155.png,206390,,FoggyCityscapes,11,,,trainA,c3d01dc98e3dd6ba40635e3704e1bb0d4b3622b7a5aef1b973aeea575c937b65,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__1155.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\1155.png,1155
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__1598.png,200166,,FoggyCityscapes,12,,,trainA,068d3926af7c6e8509728f23d43fe587f1477c888483e8c106a1f7605364dafc,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__1598.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\1598.png,1598
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__1230.png,191168,,FoggyCityscapes,13,,,trainA,7b2ab66e4361854612cafb8d5a4f264ee7f00a232dd4c93b33f9043d89cbe6b1,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__1230.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\1230.png,1230
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2421.png,197205,,FoggyCityscapes,14,,,trainA,075e14eefbb619bc2579251619fc2d79d9865a2d17ce0cd72c4db2b70fddfe63,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2421.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2421.png,2421
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__1715.png,182626,,FoggyCityscapes,15,,,trainA,75c6952e4b63cb183233171f4233d9b615db5ad4655f18d1e8b58cf4892a5c8d,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__1715.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\1715.png,1715
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__3274.png,167298,,FoggyCityscapes,16,,,trainA,6b834dc7b81052311c3e3fca611ffa906ce3956af26bb5bedc52325ef29a5dbc,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__3274.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\3274.png,3274
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__3790.png,172698,,FoggyCityscapes,17,,,trainA,80485a6a1def4f28c784438f9844692fc8cb4165962320f0319cf5e79c7c9589,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__3790.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\3790.png,3790
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__3347.png,174783,,FoggyCityscapes,18,,,trainA,fee57ccf9e1333ff2d988ea97185d8efd01e6904f324427e82548d8c7b6d80e2,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__3347.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\3347.png,3347
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__1776.png,220708,,FoggyCityscapes,19,,,trainA,5916e1fad0564806078eb4ad19523ad2d995ed9d1a7efa009d30a780f00a208e,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__1776.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\1776.png,1776
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__4301.png,184205,,FoggyCityscapes,20,,,trainA,c889d25064599ba9c538fed2f979d8765ddfb71b7548e72027a50f89af2a0109,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__4301.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\4301.png,4301
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2368.png,181189,,FoggyCityscapes,21,,,trainA,8a4ece46e8d04bb82d348e2f3ff6277402abae77a4760d0a3ede9f86a575339f,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2368.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2368.png,2368
