dataset,filename,psnr,ssim,lpips,niqe
FoggyCityscapes,FoggyCityscapes__4000.png,21.098858229111542,0.7322087287902832,0.16319069266319275,7.259847524805721
FoggyCityscapes,FoggyCityscapes__4001.png,11.658711242047644,0.43967660268147785,0.44744741916656494,6.960656075637043
FoggyCityscapes,FoggyCityscapes__4002.png,12.908591198287585,0.44213244318962097,0.4378860592842102,5.325161730201559
FoggyCityscapes,FoggyCityscapes__4003.png,13.120494572383642,0.48385483026504517,0.31898611783981323,6.449248437285836
FoggyCityscapes,FoggyCityscapes__4004.png,20.212733795755334,0.6592452526092529,0.18369537591934204,5.469046836600053
FoggyCityscapes,FoggyCityscapes__4005.png,23.11927894726454,0.7512209415435791,0.15200930833816528,7.496430570505829
FoggyCityscapes,FoggyCityscapes__4006.png,13.004065203873248,0.4195234179496765,0.36078059673309326,7.20759579643702
FoggyCityscapes,FoggyCityscapes__4007.png,22.86001018858179,0.6490302085876465,0.1886792778968811,6.447075260891441
FoggyCityscapes,FoggyCityscapes__4008.png,15.157984593133422,0.5352668166160583,0.3351000249385834,7.068624269453363
FoggyCityscapes,FoggyCityscapes__4009.png,9.325140427818384,0.39142348368962604,0.5271090865135193,7.032551391116773
FoggyCityscapes,FoggyCityscapes__4010.png,23.675641032006993,0.6904308398564657,0.14454138278961182,5.725282543052769
FoggyCityscapes,FoggyCityscapes__4011.png,10.063524694717948,0.3725728988647461,0.48883020877838135,5.866786586089594
FoggyCityscapes,FoggyCityscapes__4012.png,17.99847545305508,0.5525689323743185,0.2953049838542938,7.738836154770709
FoggyCityscapes,FoggyCityscapes__4013.png,10.786998268763623,0.4393719633420308,0.48863542079925537,6.768850233579292
FoggyCityscapes,FoggyCityscapes__4014.png,16.97334354442801,0.6044273972511292,0.25672686100006104,7.075538218187479
FoggyCityscapes,FoggyCityscapes__4015.png,13.430441069351629,0.4937950174013774,0.3639489710330963,7.031928570585785
LowLightTrafficData,LowLightTrafficData__161.png,15.938020315917784,0.4491179684797923,0.3587859272956848,10.238986245414505
LowLightTrafficData,LowLightTrafficData__162.png,8.24606047168029,0.21104634801546732,0.7987673282623291,12.893076433781697
LowLightTrafficData,LowLightTrafficData__163.png,7.573628584856824,0.17133341232935587,0.6068887710571289,7.640139215831256
LowLightTrafficData,LowLightTrafficData__164.png,15.198073237556555,0.39561601479848224,0.4136386513710022,7.396489622344787
LowLightTrafficData,LowLightTrafficData__165.png,15.726895468145802,0.5169149041175842,0.28587806224823,8.197514053568586
LowLightTrafficData,LowLightTrafficData__166.png,15.34623620934072,0.4041173259417216,0.3759380280971527,10.054471590617549
LowLightTrafficData,LowLightTrafficData__167.png,15.053989691536833,0.40325666467348736,0.38818660378456116,8.91363159585376
LowLightTrafficData,LowLightTrafficData__168.png,8.310543775788824,0.2424266735712687,0.5398702621459961,7.196746797132418
LowLightTrafficData,LowLightTrafficData__169.png,15.599546468902883,0.4043509165445964,0.5387013554573059,6.0903132408733045
LowLightTrafficData,LowLightTrafficData__170.png,8.330910458126734,0.13876141607761383,0.666348934173584,7.688698749013743
LowLightTrafficData,LowLightTrafficData__171.png,14.62901443245273,0.4527450203895569,0.3183920085430145,7.252294280864262
LowLightTrafficData,LowLightTrafficData__172.png,7.909698576523036,0.19125065207481384,0.7093314528465271,9.150145586538438
LowLightTrafficData,LowLightTrafficData__173.png,14.935206294120437,0.37396305799484253,0.4998006820678711,7.662537241456617
LowLightTrafficData,LowLightTrafficData__174.png,19.766489932998834,0.6572732329368591,0.2664196491241455,8.592364378666248
LowLightTrafficData,LowLightTrafficData__175.png,9.746275374430763,0.2973871131738027,0.6843740940093994,8.725920349459248
LowLightTrafficData,LowLightTrafficData__176.png,14.437537426573359,0.6171792149543762,0.3657066822052002,8.14996059883815
RainCityscapes,RainCityscapes__0613.png,14.998196137572164,0.5090103149414062,0.3085945248603821,5.893891826835727
RainCityscapes,RainCityscapes__0614.png,23.45571713848947,0.7271949251492819,0.1334373652935028,8.313914666260594
RainCityscapes,RainCityscapes__0615.png,23.429943416103658,0.7273942828178406,0.12818379700183868,6.018883410015329
RainCityscapes,RainCityscapes__0616.png,23.958429869319833,0.7562570174535116,0.12122483551502228,5.809063102957501
RainCityscapes,RainCityscapes__0617.png,21.715053964299265,0.6832794944445292,0.15652990341186523,10.602718051688921
RainCityscapes,RainCityscapes__0618.png,20.711893684834028,0.6566978295644125,0.16227734088897705,7.84809430599436
RainCityscapes,RainCityscapes__0619.png,23.106793146304554,0.6959247589111328,0.18795382976531982,7.718799317609285
RainCityscapes,RainCityscapes__0620.png,23.789065864184522,0.7496254841486613,0.1242268979549408,6.74887573499721
RainCityscapes,RainCityscapes__0621.png,24.19302275971642,0.7497200965881348,0.15135294198989868,7.266623060761539
RainCityscapes,RainCityscapes__0622.png,22.931098470154442,0.7243229548136393,0.17781943082809448,8.457403300060005
RainCityscapes,RainCityscapes__0623.png,20.343158359736012,0.6269315481185913,0.2315303385257721,5.915214045983645
RainCityscapes,RainCityscapes__0624.png,26.480601594449908,0.7934666077295939,0.06802269071340561,5.716420650177038
RainCityscapes,RainCityscapes__0625.png,22.161021611489808,0.7123869856198629,0.17430952191352844,5.781136175586419
RainCityscapes,RainCityscapes__0626.png,23.079198424132965,0.7217894196510315,0.14703534543514252,7.636787935991504
RainCityscapes,RainCityscapes__0627.png,23.00764633942346,0.7266861200332642,0.15701836347579956,7.245855939052033
RainCityscapes,RainCityscapes__0628.png,26.35222382050827,0.7878708839416504,0.0846826359629631,6.753924911428589
RSCityscapes,RSCityscapes__0613.png,11.721028951892574,0.35385767618815106,0.4294894337654114,5.73895983138229
RSCityscapes,RSCityscapes__0614.png,16.458168162253383,0.4206836720307668,0.3451175093650818,6.158321458024457
RSCityscapes,RSCityscapes__0615.png,15.543250406910643,0.4214438199996948,0.36734333634376526,5.420866793775342
RSCityscapes,RSCityscapes__0616.png,17.793773794305515,0.4968460400899251,0.3343525826931,6.062445124981938
RSCityscapes,RSCityscapes__0617.png,14.417099767244023,0.39846140146255493,0.4002315104007721,6.131681823774837
RSCityscapes,RSCityscapes__0618.png,13.620512381691954,0.4397050638993581,0.3479747176170349,6.668677029616083
RSCityscapes,RSCityscapes__0619.png,15.320559165864926,0.4144661823908488,0.4018288552761078,6.192729304571235
RSCityscapes,RSCityscapes__0620.png,19.234828454562194,0.5367035468419393,0.3337976634502411,5.875546840586084
RSCityscapes,RSCityscapes__0621.png,14.830169611773858,0.42726625005404156,0.37410521507263184,6.900815129220122
RSCityscapes,RSCityscapes__0622.png,15.042366986340298,0.45837075511614483,0.351076602935791,5.546936425042974
RSCityscapes,RSCityscapes__0623.png,16.642409821022476,0.43734439214070636,0.3800147771835327,7.493129900284489
RSCityscapes,RSCityscapes__0624.png,15.624384266376023,0.40496449669202167,0.41800907254219055,5.398661792973561
RSCityscapes,RSCityscapes__0625.png,14.981151805223057,0.46650806069374084,0.3238447308540344,6.071911273955179
RSCityscapes,RSCityscapes__0626.png,17.95900776768942,0.4638826747735341,0.3441140055656433,5.539089622375909
RSCityscapes,RSCityscapes__0627.png,16.903894062967716,0.46765221158663434,0.3192470967769623,6.921364172216092
RSCityscapes,RSCityscapes__0628.png,17.612785523971638,0.49262469013532,0.32040783762931824,6.435867462134411
SnowTrafficData,SnowTrafficData__0691.png,20.50615775635397,0.6000995635986328,0.2373058944940567,5.798951297565609
SnowTrafficData,SnowTrafficData__0692.png,22.186837812864127,0.726850171883901,0.16919003427028656,6.870011366058707
SnowTrafficData,SnowTrafficData__0693.png,23.216435232711245,0.6796846787134806,0.18998412787914276,9.378649138026963
SnowTrafficData,SnowTrafficData__0694.png,22.2390378244734,0.6627952853838602,0.15502308309078217,5.389971786442377
SnowTrafficData,SnowTrafficData__0695.png,23.84309525401637,0.7057627240816752,0.181850403547287,8.577243739126635
SnowTrafficData,SnowTrafficData__0696.png,22.791936502831817,0.6162009437878927,0.19746792316436768,8.196238367794132
SnowTrafficData,SnowTrafficData__0697.png,20.258094442404484,0.6541805068651835,0.20572541654109955,8.418041630033585
SnowTrafficData,SnowTrafficData__0698.png,23.45731823555729,0.655976414680481,0.20251010358333588,7.083370654197887
SnowTrafficData,SnowTrafficData__0699.png,21.396699279970885,0.6906135678291321,0.1824638545513153,6.721313550552408
SnowTrafficData,SnowTrafficData__0700.png,22.98160581348245,0.7338499228159586,0.18999134004116058,8.432141710991388
SnowTrafficData,SnowTrafficData__0701.png,22.396108658603527,0.7128700613975525,0.15858149528503418,8.468183863735275
SnowTrafficData,SnowTrafficData__0702.png,19.530399824229832,0.6590839624404907,0.16887468099594116,7.041847423522412
SnowTrafficData,SnowTrafficData__0703.png,23.002029681485002,0.6705870230992635,0.19637514650821686,7.9987042368750245
SnowTrafficData,SnowTrafficData__0704.png,16.782549682560273,0.5416898628075918,0.27616825699806213,8.620126350578284
SnowTrafficData,SnowTrafficData__0705.png,20.134165591151888,0.5464739004770914,0.27340689301490784,9.653890613410134
SnowTrafficData,SnowTrafficData__0706.png,19.371072665816822,0.4258273243904114,0.42450496554374695,8.5268106898067
