domain,side,role,stem,ext,source_path
FoggyCityscapes,input,trainA,0557,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0557.png
FoggyCityscapes,input,trainA,1657,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1657.png
FoggyCityscapes,input,trainA,3903,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3903.png
FoggyCityscapes,input,trainA,1797,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1797.png
FoggyCityscapes,input,trainA,1305,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1305.png
FoggyCityscapes,input,trainA,1991,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1991.png
FoggyCityscapes,input,trainA,4084,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4084.png
FoggyCityscapes,input,trainA,3676,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3676.png
FoggyCityscapes,input,trainA,1602,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1602.png
FoggyCityscapes,input,trainA,3220,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3220.png
FoggyCityscapes,input,trainA,3985,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3985.png
FoggyCityscapes,input,trainA,1086,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1086.png
FoggyCityscapes,input,trainA,3617,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3617.png
FoggyCityscapes,input,trainA,1844,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1844.png
FoggyCityscapes,input,trainA,1918,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1918.png
FoggyCityscapes,input,trainA,3257,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3257.png
FoggyCityscapes,input,trainA,0470,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0470.png
FoggyCityscapes,input,trainA,4311,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4311.png
FoggyCityscapes,input,trainA,3968,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3968.png
FoggyCityscapes,input,trainA,3672,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3672.png
FoggyCityscapes,input,trainA,2454,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2454.png
FoggyCityscapes,input,trainA,0009,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0009.png
FoggyCityscapes,input,trainA,2804,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2804.png
FoggyCityscapes,input,trainA,0554,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0554.png
FoggyCityscapes,input,trainA,0921,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0921.png
FoggyCityscapes,input,trainA,4520,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4520.png
FoggyCityscapes,input,trainA,1294,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1294.png
FoggyCityscapes,input,trainA,0711,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0711.png
FoggyCityscapes,input,trainA,3198,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3198.png
FoggyCityscapes,input,trainA,2104,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2104.png
FoggyCityscapes,input,trainA,3913,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3913.png
FoggyCityscapes,input,trainA,4073,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4073.png
FoggyCityscapes,input,trainA,1534,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1534.png
FoggyCityscapes,input,trainA,0422,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0422.png
FoggyCityscapes,input,trainA,4360,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4360.png
FoggyCityscapes,input,trainA,0241,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0241.png
FoggyCityscapes,input,trainA,2867,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2867.png
FoggyCityscapes,input,trainA,0171,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0171.png
FoggyCityscapes,input,trainA,1974,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1974.png
FoggyCityscapes,input,trainA,2251,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2251.png
FoggyCityscapes,input,trainA,1902,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1902.png
FoggyCityscapes,input,trainA,2866,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2866.png
FoggyCityscapes,input,trainA,1528,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1528.png
FoggyCityscapes,input,trainA,1359,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1359.png
FoggyCityscapes,input,trainA,1749,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1749.png
FoggyCityscapes,input,trainA,4374,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4374.png
FoggyCityscapes,input,trainA,4491,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4491.png
FoggyCityscapes,input,trainA,3904,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3904.png
FoggyCityscapes,input,trainA,2482,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2482.png
FoggyCityscapes,input,trainA,3413,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3413.png
FoggyCityscapes,input,trainA,3377,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3377.png
FoggyCityscapes,input,trainA,4106,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4106.png
FoggyCityscapes,input,trainA,1706,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1706.png
FoggyCityscapes,input,trainA,3232,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3232.png
FoggyCityscapes,input,trainA,1483,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1483.png
FoggyCityscapes,input,trainA,4420,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4420.png
FoggyCityscapes,input,trainA,2211,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2211.png
FoggyCityscapes,input,trainA,3905,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3905.png
FoggyCityscapes,input,trainA,4007,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4007.png
FoggyCityscapes,input,trainA,0963,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0963.png
FoggyCityscapes,input,trainA,2742,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2742.png
FoggyCityscapes,input,trainA,2271,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2271.png
FoggyCityscapes,input,trainA,3278,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3278.png
FoggyCityscapes,input,trainA,1301,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1301.png
FoggyCityscapes,input,trainA,3613,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3613.png
FoggyCityscapes,input,trainA,4038,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4038.png
FoggyCityscapes,input,trainA,2537,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2537.png
FoggyCityscapes,input,trainA,0795,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0795.png
FoggyCityscapes,input,trainA,3787,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3787.png
FoggyCityscapes,input,trainA,1799,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1799.png
FoggyCityscapes,input,trainA,4003,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4003.png
FoggyCityscapes,input,trainA,4147,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4147.png
FoggyCityscapes,input,trainA,1761,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1761.png
FoggyCityscapes,input,trainA,3378,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3378.png
FoggyCityscapes,input,trainA,0754,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0754.png
FoggyCityscapes,input,trainA,1931,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1931.png
FoggyCityscapes,input,trainA,2795,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2795.png
FoggyCityscapes,input,trainA,2418,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2418.png
FoggyCityscapes,input,trainA,0448,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0448.png
FoggyCityscapes,input,trainA,2807,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2807.png
FoggyCityscapes,input,trainA,1458,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1458.png
FoggyCityscapes,input,trainA,2181,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2181.png
FoggyCityscapes,input,trainA,0309,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0309.png
FoggyCityscapes,input,trainA,4427,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4427.png
FoggyCityscapes,input,trainA,1854,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1854.png
