draw,mapping_accuracy
0,8
1,4
2,4
3,7
4,3
5,7
6,6
7,2
8,2
9,4
10,2
11,7
12,4
13,3
14,4
15,4
16,7
17,4
18,4
19,5
20,3
21,7
22,3
23,6
24,3
25,1
26,4
27,7
28,5
29,3
30,5
31,3
32,5
33,6
34,3
35,6
36,4
37,5
38,4
39,8
40,5
41,7
42,3
43,3
44,9
45,5
46,7
47,7
48,3
49,3
50,5
51,3
52,5
53,3
54,6
55,2
56,3
57,5
58,5
59,3
60,4
61,3
62,4
63,6
64,5
65,3
66,8
67,4
68,3
69,4
70,8
71,3
72,3
73,4
74,6
75,3
76,3
77,4
78,5
79,8
80,4
81,5
82,3
83,7
84,6
85,5
86,8
87,3
88,8
89,6
90,4
91,3
92,6
93,0
94,3
95,5
96,3
97,2
98,6
99,4
100,2
101,2
102,2
103,8
104,6
105,6
106,7
107,4
108,4
109,4
110,3
111,4
112,3
113,6
114,5
115,2
116,1
117,6
118,4
119,2
120,5
121,5
122,2
123,4
124,1
125,2
126,6
127,5
128,5
129,3
130,3
131,2
132,3
133,2
134,6
135,7
136,5
137,5
138,3
139,3
140,4
141,4
142,3
143,1
144,3
145,9
146,5
147,6
148,2
149,1
150,3
151,5
152,6
153,3
154,5
155,4
156,9
157,3
158,6
159,3
160,4
161,4
162,6
163,4
164,4
165,2
166,4
167,5
168,5
169,3
170,4
171,4
172,2
173,6
174,2
175,5
176,5
177,2
178,3
179,4
180,2
181,5
182,6
183,6
184,5
185,1
186,4
187,5
188,4
189,1
190,6
191,2
192,5
193,1
194,5
195,4
196,5
197,5
198,2
199,4
200,6
201,5
202,4
203,3
204,6
205,5
206,4
207,5
208,7
209,6
210,3
211,3
212,6
213,3
214,7
215,3
216,4
217,7
218,7
219,1
220,6
221,4
222,5
223,3
224,4
225,1
226,5
227,4
228,2
229,3
230,2
231,4
232,4
233,4
234,1
235,4
236,6
237,3
238,3
239,5
240,1
241,4
242,5
243,5
244,3
245,7
246,6
247,2
248,4
249,4
250,7
251,3
252,3
253,6
254,3
255,2
256,9
257,3
258,5
259,6
260,7
261,5
262,3
263,4
264,6
265,5
266,5
267,4
268,9
269,5
270,6
271,2
272,2
273,2
274,2
275,5
276,4
277,3
278,1
279,3
280,7
281,5
282,5
283,5
284,5
285,6
286,3
287,4
288,2
289,2
290,2
291,5
292,3
293,7
294,7
295,5
296,4
297,2
298,3
299,7
300,4
301,4
302,4
303,4
304,4
305,1
306,3
307,6
308,3
309,3
310,5
311,5
312,5
313,8
314,3
315,3
316,2
317,8
318,6
319,4
320,4
321,4
322,5
323,4
324,3
325,2
326,5
327,6
328,6
329,6
330,4
331,2
332,4
333,5
334,8
335,3
336,6
337,3
338,5
339,5
340,3
341,0
342,6
343,6
344,2
345,5
346,2
347,3
348,7
349,7
350,6
351,9
352,3
353,2
354,6
355,4
356,4
357,5
358,4
359,5
360,3
361,7
362,3
363,4
364,5
365,5
366,1
367,4
368,4
369,5
370,3
371,8
372,3
373,6
374,10
375,4
376,4
377,4
378,1
379,6
380,3
381,2
382,6
383,7
384,1
385,4
386,1
387,9
388,4
389,3
390,4
391,3
392,3
393,3
394,3
395,3
396,4
397,4
398,9
399,4
400,4
401,4
402,4
403,4
404,5
405,4
406,3
407,10
408,7
409,6
410,5
411,4
412,8
413,4
414,5
415,4
416,3
417,4
418,3
419,5
420,8
421,6
422,6
423,7
424,2
425,3
426,2
427,7
428,1
429,5
430,5
431,2
432,5
433,3
434,4
435,4
436,7
437,5
438,3
439,9
440,5
441,2
442,5
443,5
444,4
445,5
446,6
447,3
448,4
449,3
450,4
451,5
452,3
453,4
454,4
455,2
456,3
457,4
458,7
459,5
460,5
461,6
462,4
463,6
464,4
465,3
466,3
467,5
468,4
469,6
470,8
471,4
472,1
473,5
474,3
475,3
476,3
477,3
478,5
479,11
480,3
481,4
482,4
483,3
484,7
485,8
486,4
487,6
488,2
489,2
490,6
491,5
492,5
493,3
494,5
495,9
496,3
497,3
498,2
499,4
500,2
501,7
502,5
503,6
504,1
505,6
506,3
507,5
508,5
509,7
510,5
511,5
512,6
513,5
514,5
515,3
516,4
517,4
518,5
519,1
520,4
521,4
522,4
523,3
524,7
525,5
526,9
527,3
528,5
529,4
530,6
531,3
532,4
533,4
534,5
535,3
536,5
537,5
538,3
539,2
540,5
541,4
542,8
543,1
544,4
545,1
546,7
547,5
548,4
549,3
550,4
551,4
552,6
553,4
554,3
555,5
556,6
557,9
558,5
559,3
560,3
561,3
562,4
563,4
564,4
565,4
566,7
567,6
568,6
569,2
570,4
571,4
572,6
573,4
574,4
575,6
576,4
577,3
578,3
579,8
580,3
581,2
582,5
583,6
584,3
585,4
586,1
587,2
588,2
589,4
590,4
591,2
592,2
593,3
594,4
595,3
596,6
597,3
598,4
599,3
600,2
601,4
602,3
603,4
604,7
605,3
606,6
607,3
608,5
609,3
610,6
611,4
612,3
613,7
614,2
615,7
616,2
617,4
618,5
619,5
620,2
621,5
622,7
623,5
624,5
625,2
626,3
627,3
628,3
629,4
630,8
631,4
632,2
633,4
634,2
635,6
636,4
637,2
638,2
639,9
640,2
641,5
642,8
643,1
644,3
645,4
646,8
647,0
648,1
649,2
650,3
651,2
652,4
653,4
654,2
655,3
656,4
657,4
658,5
659,4
