bridge_time_index,bridge_time_value,domain,fixed_predicted_age,effective_age_M32,effective_age_M16,bootstrap_modal_age,bootstrap_modal_share,stable_predicted_cell,best_mean_KDD,second_best_mean_KDD,profile_margin
1,0.5,FoggyCityscapes,4,4,4,4,1.0,True,0.36325239375519436,0.4087653083457462,0.045512914590551845
1,0.5,LowLightTrafficData,3,3,3,3,1.0,True,0.11115757449949763,0.14293351052442177,0.03177593602492414
1,0.5,RainCityscapes,2,2,2,2,1.0,True,0.4633069329414252,0.5813222660946727,0.11801533315324753
1,0.5,RSCityscapes,4,4,4,4,1.0,True,0.2355184112188033,0.2626718060928471,0.027153394874043835
1,0.5,SnowTrafficData,5,5,5,5,0.9982,True,0.6213505998397849,0.6535413882970311,0.03219078845724621
2,0.74,FoggyCityscapes,4,4,4,4,1.0,True,0.5807576600646075,0.6234992069761776,0.04274154691157006
2,0.74,LowLightTrafficData,3,3,3,3,1.0,True,0.47589987258512045,0.6076697242332997,0.13176985164817923
2,0.74,RainCityscapes,2,2,2,2,1.0,True,0.6365244740331994,0.8212643732756045,0.18473989924240508
2,0.74,RSCityscapes,4,4,4,4,1.0,True,0.5358946015115557,0.575433002960802,0.03953840144924636
2,0.74,SnowTrafficData,5,5,5,5,1.0,True,0.9029897637855796,0.9506116674848317,0.04762190369925212
3,0.8600000000000001,FoggyCityscapes,4,4,4,4,1.0,True,0.7330980529392165,0.7481528619495434,0.015054809010326964
3,0.8600000000000001,LowLightTrafficData,3,3,3,3,1.0,True,0.8220609739339167,0.8778314133439696,0.055770439410052886
3,0.8600000000000001,RainCityscapes,2,2,2,2,1.0,True,0.759921270563766,0.8984293901227349,0.1385081195589689
3,0.8600000000000001,RSCityscapes,2,2,2,2,0.7652,False,0.7491808382404898,0.7571418784796985,0.007961040239208739
3,0.8600000000000001,SnowTrafficData,5,5,5,5,1.0,True,1.0234558772789664,1.0598286393307532,0.036372762051786856
